                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5855,                  3.586,                 4.0351,                      0,                      0,                      0,                      0,                 6.0754,                 4.5402,                 4.2926,             0.00054409,             0.00054409,             0.00054409
                      2,                 3.1627,                 2.5448,                 3.1194,                0.00072,                0.01515,                0.00039,                  8e-05,                  5.464,                 3.9535,                 3.8893,              0.0010453,              0.0010453,              0.0010453
                      3,                 2.8125,                 2.3222,                 2.6455,                0.06331,                0.04807,                0.01741,                0.00378,                 4.5544,                 2.4393,                   3.48,              0.0014915,              0.0014915,              0.0014915
                      4,                 2.6422,                 2.2056,                 2.4397,                0.30435,                0.15963,                0.10405,                0.01886,                  3.799,                 2.3039,                 3.0001,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.5336,                 2.1042,                 2.2954,                0.11034,                0.16775,                0.06951,                0.01501,                 3.4319,                  3.108,                 3.4879,              0.0014195,              0.0014195,              0.0014195
                      6,                 2.3779,                 2.0675,                 2.1857,                0.36358,                0.59686,                0.37523,                0.13382,                 2.2523,                 1.8245,                 2.2356,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.3117,                 2.0077,                 2.0748,                0.01211,                0.01515,                0.00413,                0.00119,                 3.8548,                 4.7501,                  3.531,              0.0012544,              0.0012544,              0.0012544
                      8,                 2.2158,                 1.9374,                 2.0022,                0.07692,                0.06602,                0.04712,                0.01574,                  3.886,                 3.4132,                 3.3607,              0.0011719,              0.0011719,              0.0011719
                      9,                 2.2156,                 1.9193,                 1.9635,                0.31651,                0.56447,                0.39707,                0.13901,                 2.1886,                  1.936,                 2.1171,              0.0010894,              0.0010894,              0.0010894
                     10,                 2.1446,                 1.9175,                 1.9298,                0.45209,                0.63787,                0.52751,                0.23184,                 1.6754,                 1.8006,                 1.8038,              0.0010069,              0.0010069,              0.0010069
                     11,                 2.1092,                 2.1825,                 1.9739,                0.24831,                 0.5211,                0.30792,                0.10673,                 2.0737,                 2.0589,                 1.9754,             0.00092435,             0.00092435,             0.00092435
                     12,                 2.0394,                  2.018,                 1.9053,                0.09093,                0.17478,                0.05873,                0.01977,                 3.4118,                  3.661,                 3.5804,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.9823,                  1.935,                 1.8548,                0.09094,                0.12662,                0.05748,                0.01367,                 3.4575,                 3.3165,                 3.5072,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.9584,                 1.9321,                 1.8416,                0.00034,                0.01786,                0.00454,                0.00091,                 4.1298,                 3.8875,                  3.854,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.9096,                 1.8802,                 1.8025,                0.10815,                0.09903,                0.08698,                0.00878,                 3.4798,                 3.8596,                 3.4084,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.9044,                 1.8794,                 1.7795,                0.36728,                0.14719,                0.18906,                0.04184,                 3.2249,                 2.5483,                 3.1048,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.8685,                 1.8644,                  1.786,                0.31621,                0.27922,                0.25072,                0.08476,                 2.5753,                 2.4289,                 2.4955,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.8243,                 1.8356,                 1.7451,                0.30545,                0.50649,                0.33103,                0.12109,                 1.8506,                 2.1248,                 1.8552,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.8322,                   1.83,                 1.7376,                0.41051,                0.47457,                0.44629,                0.17573,                 1.9531,                   1.92,                 1.9774,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.8173,                 1.8088,                 1.7173,                 0.4242,                0.63961,                0.56465,                0.24571,                 1.6245,                 1.6302,                 1.6832,              0.0001817,              0.0001817,              0.0001817
